更新时间: 2025-11-20 02:44:52（北京时间）

更新时间,#genre#
2025-11-20 02:44:52,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://220.173.24.135:4022/rtp/239.81.0.102:4056$广西电信
CCTV1,http://115.150.52.249:9668/rtp/239.252.219.200:5140$江西电信
CCTV2,http://220.173.24.135:4022/rtp/239.81.0.115:4056$广西电信
CCTV2,http://115.150.52.249:9668/rtp/239.252.220.183:5140$江西电信
CCTV3,http://220.173.24.135:4022/rtp/239.81.0.231:4056$广西电信
CCTV3,http://115.150.52.249:9668/rtp/239.252.219.252:5140$江西电信
CCTV4,http://220.173.24.135:4022/rtp/239.81.0.96:4056$广西电信
CCTV4,http://115.150.52.249:9668/rtp/239.252.220.184:5140$江西电信
CCTV4欧洲,http://115.150.52.249:9668/rtp/239.252.219.192:5140$江西电信
CCTV4美洲,http://115.150.52.249:9668/rtp/239.252.219.193:5140$江西电信
CCTV5,http://220.173.24.135:4022/rtp/239.81.0.232:4056$广西电信
CCTV5,http://115.150.52.249:9668/rtp/239.252.219.198:5140$江西电信
CCTV5+,http://220.173.24.135:4022/rtp/239.81.0.101:4056$广西电信
CCTV5+,http://115.150.52.249:9668/rtp/239.252.219.72:5140$江西电信
CCTV6,http://220.173.24.135:4022/rtp/239.81.0.233:4056$广西电信
CCTV6,http://115.150.52.249:9668/rtp/239.252.219.237:5140$江西电信
CCTV7,http://220.173.24.135:4022/rtp/239.81.0.116:4056$广西电信
CCTV7,http://115.150.52.249:9668/rtp/239.252.220.185:5140$江西电信
CCTV8,http://220.173.24.135:4022/rtp/239.81.0.234:4056$广西电信
CCTV8,http://115.150.52.249:9668/rtp/239.252.219.253:5140$江西电信
CCTV9,http://220.173.24.135:4022/rtp/239.81.0.117:4056$广西电信
CCTV9,http://115.150.52.249:9668/rtp/239.252.220.186:5140$江西电信
CCTV10,http://220.173.24.135:4022/rtp/239.81.0.118:4056$广西电信
CCTV10,http://115.150.52.249:9668/rtp/239.252.220.91:5140$江西电信
CCTV11,http://220.173.24.135:4022/rtp/239.81.0.229:4056$广西电信
CCTV11,http://115.150.52.249:9668/rtp/239.252.219.78:5140$江西电信
CCTV12,http://220.173.24.135:4022/rtp/239.81.0.119:4056$广西电信
CCTV12,http://115.150.52.249:9668/rtp/239.252.220.187:5140$江西电信
CCTV13,http://220.173.24.135:4022/rtp/239.81.0.206:4056$广西电信
CCTV13,http://115.150.52.249:9668/rtp/239.252.219.139:5140$江西电信
CCTV14,http://220.173.24.135:4022/rtp/239.81.0.120:4056$广西电信
CCTV14,http://115.150.52.249:9668/rtp/239.252.220.92:5140$江西电信
CCTV15,http://220.173.24.135:4022/rtp/239.81.0.230:4056$广西电信
CCTV15,http://115.150.52.249:9668/rtp/239.252.219.79:5140$江西电信
CCTV16,http://220.173.24.135:4022/rtp/239.81.0.142:4056$广西电信
CCTV16,http://220.173.24.135:4022/rtp/239.81.0.144:4056$广西电信
CCTV16,http://115.150.52.249:9668/rtp/239.252.220.237:5140$江西电信
